titre;année;collection;auteur;illustrateur
Le Devin;1967;Astérix;René Goscinny;Albert Uderzo
Le Bouclier Arverne;1968;Astérix;René Goscinny;Albert Uderzo
Astérix et Cléopâtre;1965;Astérix;René Goscinny;Albert Uderzo
Astérix : Le Combat des Chefs;1966;Astérix;René Goscinny;Albert Uderzo
Astérix : La Serpe d’Or;1962;Astérix;René Goscinny;Albert Uderzo
Dalton City;1969;Lucky Luke;Morris;René Goscinny
Des Rails sur la Prairie;1968;Lucky Luke;Morris;René Goscinny
La Diligence;1962;Lucky Luke;Morris;René Goscinny
Le Pied-Tendre;1975;Lucky Luke;Goscinny;Morris
Panique à Lagaffe;1972;Gaston Lagaffe;Franquin;
Le Réveille-Gaffes;1970;Gaston Lagaffe;Franquin;
Lagaffe en Accéléré;1971;Gaston Lagaffe;Franquin;
Le Réacteur;1973;Gaston Lagaffe;Franquin;
La Classe de Neige;1997;Les Profs;Pica;Erroc
Les Profs en Vacances;1998;Les Profs;Pica;Erroc
Les Profs : La Révolte;2000;Les Profs;Pica;Erroc
Zénith;1997;Donjon;Lewis Trondheim;Joann Sfar
Extremities;1998;Donjon;Lewis Trondheim;Joann Sfar
Donjon Monsters;1999;Donjon;Lewis Trondheim;Joann Sfar
Les Maîtres des Ténèbres;2000;Lanfeust de Troy;Christophe Arleston;Didier Tarquin
Les Larmes de Glaou;1999;Lanfeust de Troy;Christophe Arleston;Didier Tarquin
L’Invasion des Trolls;1998;Lanfeust de Troy;Christophe Arleston;Didier Tarquin
Le Maître des Ténèbres;2009;Seuls;Fabien Vehlmann;Bruno Gazzotti
La Cité de l’Ombre;2007;Seuls;Fabien Vehlmann;Bruno Gazzotti
Arctic Nation;2003;Blacksad;Juan Díaz Canales;Juanjo Guarnido
Âme Rouge;2003;Blacksad;Juan Díaz Canales;Juanjo Guarnido
Le Schtroumpfissime;1965;Les Schtroumpfs;Peyo;
Schtroumpf Vert et Vert Schtroumpf;1969;Les Schtroumpfs;Peyo;
Le Repaire de la Murène;1957;Spirou & Fantasio;Franquin;Jijé
QRN sur Bretzelburg;1966;Spirou & Fantasio;Franquin;Jijé
Les Ethiopiques;1971;Corto Maltese;Hugo Pratt;
Le Spectre de Carthage;1957;Alix;Jacques Martin;
Le César;1960;Alix;Jacques Martin

